ID,name,content,Tag/External ID,Diễn đàn/External ID
utc2_q_0,Câu hỏi và câu trả lời tham khảo (liên quan)," thưa nhà trường, chất lượng wifi ở ký túc xá quá tệ, em kính mong nhà trường xem xét. em cảm ơn ạ thời gian qua chất lượng wifi khá ổn - ktx thường xuyên thăm dò ý kiến sinh viên về vấn đề này. chất lượng yếu chỉ mới xuất hiện gần đây. cuối tuần rồi, ban đã yêu cầu phía công ty kiểm tra và xử lý. sáng nay 11/09 họ vẫn tiếp tục đến các dãy để khắc phục nếu phát hiện tính hiệu kém. hiện nay công ty inet có đặt văn phòng để xử lý về vấn đề wifi tại phòng 6-d31. khi có vấn đề về wifi, các bạn vui lòng liên hệ nơi đó hoặc liên lạc số đt 0918.145.190 (gặp anh phương) để kịp thời hỗ trợ;  các bạn cũng có thể phản ánh với bql ktx, để chúng tôi yêu cầu phía cung cấp dịch vụ xử lý. trân trọng!",,website_forum.forum_help
utc2_q_1,Câu hỏi và câu trả lời tham khảo (liên quan)," 1. em đi thực tập full tuần nên chỉ đánh giá vào buổi trưa hay buổi tối, vào buổi trưa ngày 4/9 em có đánh giá mà tại sao lúc giáo viên đánh giá thì ghi em chưa đánh giá kỳ này. em kh hiểu tại sao lại sảy ra như vậy?",qa_app.utc2_tags_4,website_forum.forum_help
utc2_q_2,Câu hỏi và câu trả lời tham khảo (liên quan)," 2. hiện tại em là sinh viên năm cuối và em không còn nợ môn gì hết và đủ điểm để nhận đồ án. em muốn hỏi là:"" em làm xong đồ án em được quyền bảo lưu không ạ? bảo lưu thì cần điều kiện gì ạ?""",qa_app.utc2_tags_6,website_forum.forum_help
utc2_q_3,Câu hỏi và câu trả lời tham khảo (liên quan)," 3.ad cho em hỏi : như kì chính mình học 14 chỉ mà hè mình trả nợ 3 chỉ vậy khi xét học bổng mình được xét khi kết quả học tập mình đạt giỏi và không có môn nào dưới 5 cả, tại em nghe điều kiện xét học bổng là kì học phải đủ 15 chỉ , không xét thêm hè mà điểm hè chỉ tính thêm vào chứ ko xét vào điều kiện đủ số tín chỉ xét học bổng vậy ạ.  với ad cho em hỏi ví dụ điểm tích lũy mình thấp hơn mấy bạn nhưng điểm rèn luyện mình cao hơn vậy khi xét học bổng sẽ dựa vào điểm nào xét trước vậy ạ. em cảm ơn !",qa_app.utc2_tags_6,website_forum.forum_help
utc2_q_4,Câu hỏi và câu trả lời tham khảo (liên quan), 4. dạ e k60 cho e hỏi trường có tổ chức đăng kí học phần đợt 2 không a tại vì chi tiêu môn học đã đủ r ,qa_app.utc2_tags_6,website_forum.forum_help
utc2_q_5,Câu hỏi và câu trả lời tham khảo (liên quan), mình là nữ k58 cần tìm phòng ở ghép. vì chưa có xe nên cần phòng gần gần trường một chút ạ . ai cần người hay biết chỗ nào còn dư phòng thì chỉ cho mình biết với ạ ! mình xin cảm ơn !!,qa_app.utc2_tags_12,website_forum.forum_help
utc2_q_6,Câu hỏi và câu trả lời tham khảo (liên quan), 1. cho em hỏi kì i em được xuất sắc và kì ii được học sinh giỏi thì cả nắm được xếp loại gì vậy ạ?,qa_app.utc2_tags_6,website_forum.forum_help
utc2_q_7,Câu hỏi và câu trả lời tham khảo (liên quan), 2. cho e hỏi là thi quốc phòng hp1 có đc mang cuốn tài liều phô ở bên ngoài vô đc ko ạ hay chỉ đc mang vở mình viết bài ạ ??,qa_app.utc2_tags_10,website_forum.forum_help
utc2_q_8,Câu hỏi và câu trả lời tham khảo (liên quan), 3. ad ơi em là k60 cho e hỏi là mình học qpan xong mình có được nghỉ vài ngày không hay mình phải học môn khác liền ạ (mà nếu nghỉ là cỡ mấy ngày ạ),qa_app.utc2_tags_11,website_forum.forum_help
utc2_q_9,Câu hỏi và câu trả lời tham khảo (liên quan), 4. cho em hỏi 15/9 khám sức khỏe k60 v thi tiếng anh đầu vào sao thi dc ạ,qa_app.utc2_tags_0,website_forum.forum_help
