ID	content	Câu hỏi/External ID
utc2_a_0	 ad: ban quản lý ktx đã yêu cầu công ty inet kiểm tra và thông tin trả lời các bạn như sau:	__import__.utc2_q_0
utc2_a_1	" 1. có thể bạn ko để ý lúc lưu không thành công rồi, bạn lên phòng 6 nhà d3 để được hỗ trợ nhé."	__import__.utc2_q_1
utc2_a_2	 2. bạn phải hoàn thành đồ án được bộ môn đồng ý cho bảo lưu thì mới được bảo lưu nhưng chỉ được bảo lưu 6 tháng thôi nhé.	__import__.utc2_q_2
utc2_a_3	" 3. bạn xem sổ tay khóa 59 trang 55 nhé:  ""- điều kiện để sinh viên được xét cấp học bổng:  + mức học bổng loại khá: có điểm trung bình chung học tập đạt loại khá trở lên và điểm rèn luyện đạt loại khá trở lên. mức học bổng tối thiểu bằng hoặc cao hơn mức trần học phí hiện hành ngành nghề mà sinh viên theo học do hiệu trưởng quy định.  + mức học bổng loại giỏi: có điểm trung bình trung học tập đạt loại giỏi trở lên và điểm rèn luyện đạt loại tốt trở lên. mức học bổng cao hơn loại khá và do hiệu trưởng quy định. + mức học bổng loại xuất sắc: có điểm trung bình chung học tập đạt loại xuất sắc và điểm rèn luyện đạt loại xuất sắc. mức học bổng cao hơn loại giỏi và do hiệu trưởng quy định. + không bị điểm thi dưới 5,00 (kết quả lần đầu) + không bị kỷ luật từ khiển trách trở lên. - điểm trung bình chung học tập được xác định theo quy định hiện hành của quy chế đào tạo đại học và cao đẳng hệ chính quy do bộ giáo dục và đào tạo ban hành (chỉ được lấy điểm thi, kiểm tra môn học lần thứ nhất, trong đó không có điểm thi dưới 5,00 hoặc kiểm tra hết môn không đạt). kết quả rèn luyện được xác định theo quy định của quy chế đánh giá kết quả rèn luyện hiện hành do bộ giáo dục và đào tạo ban hành. - học bổng khuyến khích học tập được cấp theo từng học kỳ và cấp 10 tháng trong năm học. - sinh viên đào tạo theo học chế tín chỉ được xét cấp học bổng khuyến khích học tập theo số lượng tín chỉ (15 tín chỉ tương đương với một học kỳ). thủ tục và tiêu chuẩn xét cấp học bổng khuyến khích học tập theo học chế tín chỉ thực hiện như thủ tục và tiêu chuẩn xét cấp học bổng khuyến khích học tập theo học kỳ."""	__import__.utc2_q_3
utc2_a_4	 4. bạn trao đổi với phòng đào tạo 10 nhà d3 xem sao nhé. tùy vào số lượng sinh viên khóa 60 không đăng ký được nhiều hay ít sẽ có phương án phù hợp nhé.	__import__.utc2_q_4
utc2_a_5	" ad: bạn gửi đến diễn đàn thì ad hỗ trợ đăng vậy thôi chứ chuyện ở ghép cũng có nhiều rủi ro nhất định, nhớ sàng lọc kỹ lưỡng nhé. diễn đàn hỗ trợ đăng giúp bạn chứ không đảm bảo những người inbox có nhu cầu hay minh bạch bạn nhé. thân ái ./."	__import__.utc2_q_5
utc2_a_6	" 1. còn tùy điểm của bạn bao nhiêu và tổng số tính chỉ bạn học nữa ạ, trong sổ tay sinh viên có chỉ cách tính đó ạ, trang 32 sổ tay khóa 60 bạn nhé."	__import__.utc2_q_6
utc2_a_7	" 2. vào đầu chương trình thầy dạy quốc phòng sẽ thông báo kế hoạch học tập và hình thức thi, nếu các bạn không theo dõi kịp thì trao đổi lại với giảng viên nhé."	__import__.utc2_q_7
utc2_a_8	" 3. tùy vào từng ngành bạn ạ, thường là được nghỉ hai ngày cuối tuần trước khi vào chương trình chính, có thể 3 đến 4 ngày tùy vào ngành, bạn theo dõi lịch học là biết ngay ạ."	__import__.utc2_q_8
utc2_a_9	" 4. lịch khám có nguyên ngày mà bạn, bắt đầu sớm và kết thúc muộn nên các bạn có thể xắp xếp nhé. bạn xem lại link ad gửi kèm nhé, nếu khó quá bạn có thể khám mốc giờ không thuộc ngành mình cũng được nhé. <a href=""http://utc2.edu.vn/news/view/0/8276/thong-bao-ve-viec-kham-suc-khoe-cho-sinh-vien-.html"">http://utc2.edu.vn/news/view/0/8276/thong-bao-ve-viec-kham-suc-khoe-cho-sinh-vien-.html</a> "	__import__.utc2_q_9
utc2_a_10	" 5. bạn phải xin thầy dạy quốc phòng trước đã để được phép nghỉ, rồi thầy hướng dẫn nộp đơn xin ở đâu nhé."	__import__.utc2_q_10
utc2_a_11	" 6. còn tùy thuộc vào số lượng sinh viên có kết quả tốt của lớp nữa bạn nhé, đợi chút đi ạ."	__import__.utc2_q_11
utc2_a_12	" 7. các bạn cứ lên phòng 10 nhà d3 để được tư vấn nhé, thường thì được đăng ký học các môn: toán, lý, hóa, giáo dục thể chất, triết... về hình thức thì các bạn sử dụng tài khoản đăng ký học phần do phòng đào tạo cấp và vào hệ thống dịch vụ công để đăng ký, xác nhận xong, tính mức học phí chờ thời gian đóng là xong ạ."	__import__.utc2_q_12
utc2_a_13	" 8. trung tâm đào tạo thực hành và chuyển giao công nghệ tổ chức cho các lớp kia xong sẽ thông báo ạ, bạn yên tâm nhé."	__import__.utc2_q_13
utc2_a_14	 1. bạn liên hệ phòng 6 nhà d3 nhé.	__import__.utc2_q_14
utc2_a_15	" 2. không bạn ạ, nhưng các bạn thường clik vào mục gửi all, cho tất cả mọi người nên nó cứ vào email của bạn thôi ạ, phòng đã tập huấn cho các khóa nhưng có lẽ các bạn không để ý nên bất tiện thế đấy ạ."	__import__.utc2_q_15
